source,clickbait,methods,gpt_zero_shot_clickbait,gpt_few_shot_clickbait,gemini_zero_shot_clickbait,gemini_few_shot_clickbait,gpt_zero_shot_source,gpt_few_shot_source,gemini_zero_shot_source,gemini_few_shot_source
Shardlake: murder mysteries dont get more fantastically creepy than this,Are You Brave Enough to Face the Darkest Murder Mystery of the Year? Shardlake Will Push You to the Edge - But Can You Handle the Fantastically Creepy Truth?,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1]","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Exaggeration', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Sensationalism'])"
A celebrity politician has been jailed for rape. Will Czech women be listened to now? | Apolena Rychlkov and Jakub Zelenka|,The #MeToo Moment That Will Change Everything: A Celebrity Politician Behind Bars - But Will It Be Enough to Give Czech Women the Justice They Deserve? The Most Powerful Voices of the Year Weigh In,"[0, 0, 1, 0, 1, 1, 1, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Unfinished Narratives', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Ambiguous References'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Sensationalism'])","('Yes', ['Provocative Questions', 'Emotional Triggers'])"
How to make the most of beetroot leaves  recipe | Waste not,The Secret to Saving the Planet (and Your Taste Buds) - Are You Guilty of Throwing Away the Most Nutritious Part of the Beetroot? Discover the Life-Changing Recipe That Will Make You Question Everything!,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Polish border pushbacks back in spotlight after pregnant womans ordeal,What's Really Happening at the Polish Border? The Pregnant Woman's Ordeal Raises Questions - Are We Turning a Blind Eye to a Humanitarian Crisis?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
England Is Mine by Nicolas Padamsee review  battle lines drawn,"The Most Explosive Book Review of the Year: 'England Is Mine' by Nicolas Padamsee - The Battle Lines Are Drawn, But Are You Prepared for the Truth? The Greatest Literary Showdown of Our Time Will Leave You Breathless!","[0, 1, 1, 0, 1, 0, 0, 0, 0, 1]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism'])","('Yes', ['Sensationalism', 'Ambiguous References'])","('Yes', ['Ambiguous References', 'Emotional Triggers'])","('No', ['None'])"
Oil Edges Higher Ahead of U.S. PCE Data,What's Really Behind the Oil Price Surge: Will You Be Able to Afford Gas Tomorrow?,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 1]","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Direct Appeals'])","('Yes', ['Provocative Questions', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
EU state says it wont give missile systems to Ukraine,The Shocking Reason Why One EU State Just Refused to Help Ukraine: You Won't Believe What's Really Going On,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Sensationalism', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Ambiguous References', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Yes', ['Curiosity Gap'])"
"Exxon Mobil and Chevron posted lower first-quarter profits in part because of anemic natural-gas prices and refining margins, as their run of record-setting results tapers off.",Warning: Your Retirement Savings May Be at Risk as Exxon and Chevron's Profits Plummet - What You Need to Know Now,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Curiosity Gap'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"Exxon Mobil and Chevron posted lower first-quarter profits in part because of anemic natural-gas prices and refining margins, as their run of record-setting results tapers off.",The Billion-Dollar Question: What's Really Behind Exxon and Chevron's Sudden Profit Collapse - and How Will It Affect Your Wallet?,"[0, 1, 0, 0, 0, 1, 1, 1, 1, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Provocative Questions', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"Putin Didn't Directly Order Navalny's February Death, U.S. Spy Agencies Find",The Mysterious Case of Navalny's Death: What U.S. Spy Agencies Just Discovered - But Are They Telling the Whole Truth?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Egypt's president dispatched his intelligence chief to Israel in a last-ditch effort to revive talks toward a cease-fire in Gaza that would also free Israeli hostages and hold off a planned Israeli military offensive in Rafah.,Breaking: Egypt's Desperate Bid to Prevent All-Out War in Gaza - The Stakes Are Higher Than You Think,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Exaggeration', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap', 'Exaggeration'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"U.S. intelligence agencies believe Putin likely didn't order the killing of Alexei Navalny in an Arctic penal colony in February, a finding criticized by the Russian dissident's allies.",The Sinister Plot Thickens: What U.S. Intelligence Agencies Just Revealed About Putin and Navalny - and What It Really Means,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Ambiguous References', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Ambiguous References', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Secretary of State Blinken warned Chinese leader Xi that the U.S. was prepared to act if Beijing didn't cut back on its support for Russia's defense industry.,The Top 3 Reasons Why the U.S. Is on a Collision Course with China - and the Shocking Consequences of a Potential War,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Lists/Superlatives', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Israel and Hezbollah Flirt With Dangerous Mideast Escalation,The Apocalypse Scenario: Is Israel on the Brink of War with Hezbollah? What You Need to Know to Survive the Coming Storm,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 1]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Direct Appeals'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
"U.S. intelligence agencies believe Putin likely didn't order the killing of Alexei Navalny in an Arctic penal colony in February, a finding criticized by the Russian dissident's allies.",The 5 Most Shocking Theories About Putin and Navalny's Death: What U.S. Intelligence Agencies Just Uncovered - But Is the Truth Still Out There?,"[1, 0, 0, 1, 1, 1, 0, 1, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Lists/Superlatives', 'Curiosity Gap', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"Stocks rose with the Dow, S&P 500 and Nasdaq gaining 0.4%, 1% and 2%, respectively.","You Won't Believe the Top 3 Stocks That Are About to Change Your Life: Dow, S&P 500, and Nasdaq Just Made a Stunning Move - Find Out What's Next!","[1, 0, 1, 0, 1, 0, 0, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Direct Appeals'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Direct Appeals', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
BBC reporter at Trump trial as man sets himself on fire,The 5 Most Shocking Moments from the Trump Trial: Can You Guess What Just Happened? You Won't Believe the Chaos That Erupted - Watch Now!,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Direct Appeals'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap', 'Direct Appeals'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers'])"
Iraq criminalises same-sex relationships in new law,The Most Shocking Law of the Century: Iraq Just Made a Heart-Wrenching Move - But What Does It Really Mean for You? The Truth Will Leave You Speechless!,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 1]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Exaggeration', 'Direct Appeals'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions', 'Exaggeration', 'Direct Appeals'])","('No', ['None'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])"
AI-generated Putin biopic set for release,The Top 3 Things You Need to Know About the Mysterious AI-Generated Putin Biopic: What Secrets Will It Reveal? The Answer Will Surprise You...,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Ambiguous References', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Ambiguous References', 'Provocative Questions', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('Yes', ['Sensationalism', 'Unexpected Associations'])","('No', ['None'])"
Weinstein in hospital after conviction overturned,The Weinstein Bombshell: You Won't Believe What Just Happened - But What Does It Mean for His Future? The Most Shocking Twist Yet - Get the Inside Scoop!,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Ambiguous References'])","('No', ['None'])","('Yes', ['Sensationalism', 'Unfinished Narratives'])","('No', ['None'])"
Watch: Biden roasts Trump at correspondents' dinner,The Ultimate Roast: Biden Just Took Down Trump in the Most Epic Way - But What's the Real Story Behind the Laughter? You Won't Believe the Secret That's Been Revealed...,"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Curiosity Gap', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Curiosity Gap', 'Sensationalism'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('No', ['None'])"
Bernie Sanders hits back at Netanyahu over antisemitism claims,The Top 3 Most Heated Moments in the Sanders-Netanyahu Feud: What's Really Going On? The Shocking Truth Behind the Accusations Will Leave You Questioning Everything...,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1]","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
"Grilled onions with eggs, and chive bread pudding: Yotam Ottolenghis recipes for alliums",The Secret Ingredient That Will Change Your Breakfast Forever: Yotam Ottolenghi's Surprising Recipe Revealed - But What's the Magic Behind It?,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
